"ID","eruption_duration","waiting_time"
0,3.6,79
1,1.8,54
2,3.333,74
3,2.283,62
4,4.533,85
5,2.883,55
6,4.7,88
7,3.6,85
8,1.95,51
9,4.35,85
10,1.833,54
11,3.917,84
12,4.2,78
13,1.75,47
14,4.7,83
15,2.167,52
16,1.75,62
17,4.8,84
18,1.6,52
19,4.25,79
20,1.8,51
21,1.75,47
22,3.45,78
23,3.067,69
24,4.533,74
25,3.6,83
26,1.967,55
27,4.083,76
28,3.85,78
29,4.433,79
30,4.3,73
31,4.467,77
32,3.367,66
33,4.033,80
34,3.833,74
35,2.017,52
36,1.867,48
37,4.833,80
38,1.833,59
39,4.783,90
40,4.35,80
41,1.883,58
42,4.567,84
43,1.75,58
44,4.533,73
45,3.317,83
46,3.833,64
47,2.1,53
48,4.633,82
49,2,59
50,4.8,75
51,4.716,90
52,1.833,54
53,4.833,80
54,1.733,54
55,4.883,83
56,3.717,71
57,1.667,64
58,4.567,77
59,4.317,81
60,2.233,59
61,4.5,84
62,1.75,48
63,4.8,82
64,1.817,60
65,4.4,92
66,4.167,78
67,4.7,78
68,2.067,65
69,4.7,73
70,4.033,82
71,1.967,56
72,4.5,79
73,4,71
74,1.983,62
75,5.067,76
76,2.017,60
77,4.567,78
78,3.883,76
79,3.6,83
80,4.133,75
81,4.333,82
82,4.1,70
83,2.633,65
84,4.067,73
85,4.933,88
86,3.95,76
87,4.517,80
88,2.167,48
89,4,86
90,2.2,60
91,4.333,90
92,1.867,50
93,4.817,78
94,1.833,63
95,4.3,72
96,4.667,84
97,3.75,75
98,1.867,51
99,4.9,82
100,2.483,62
101,4.367,88
102,2.1,49
103,4.5,83
104,4.05,81
105,1.867,47
106,4.7,84
107,1.783,52
108,4.85,86
109,3.683,81
110,4.733,75
111,2.3,59
112,4.9,89
113,4.417,79
114,1.7,59
115,4.633,81
116,2.317,50
117,4.6,85
118,1.817,59
119,4.417,87
120,2.617,53
121,4.067,69
122,4.25,77
123,1.967,56
124,4.6,88
125,3.767,81
126,1.917,45
127,4.5,82
128,2.267,55
129,4.65,90
130,1.867,45
131,4.167,83
132,2.8,56
133,4.333,89
134,1.833,46
135,4.383,82
136,1.883,51
137,4.933,86
138,2.033,53
139,3.733,79
140,4.233,81
141,2.233,60
142,4.533,82
143,4.817,77
144,4.333,76
145,1.983,59
146,4.633,80
147,2.017,49
148,5.1,96
149,1.8,53
150,5.033,77
151,4,77
152,2.4,65
153,4.6,81
154,3.567,71
155,4,70
156,4.5,81
157,4.083,93
158,1.8,53
159,3.967,89
160,2.2,45
161,4.15,86
162,2,58
163,3.833,78
164,3.5,66
165,4.583,76
166,2.367,63
167,5,88
168,1.933,52
169,4.617,93
170,1.917,49
171,2.083,57
172,4.583,77
173,3.333,68
174,4.167,81
175,4.333,81
176,4.5,73
177,2.417,50
178,4,85
179,4.167,74
180,1.883,55
181,4.583,77
182,4.25,83
183,3.767,83
184,2.033,51
185,4.433,78
186,4.083,84
187,1.833,46
188,4.417,83
189,2.183,55
190,4.8,81
191,1.833,57
192,4.8,76
193,4.1,84
194,3.966,77
195,4.233,81
196,3.5,87
197,4.366,77
198,2.25,51
199,4.667,78
200,2.1,60
201,4.35,82
202,4.133,91
203,1.867,53
204,4.6,78
205,1.783,46
206,4.367,77
207,3.85,84
208,1.933,49
209,4.5,83
210,2.383,71
211,4.7,80
212,1.867,49
213,3.833,75
214,3.417,64
215,4.233,76
216,2.4,53
217,4.8,94
218,2,55
219,4.15,76
220,1.867,50
221,4.267,82
222,1.75,54
223,4.483,75
224,4,78
225,4.117,79
226,4.083,78
227,4.267,78
228,3.917,70
229,4.55,79
230,4.083,70
231,2.417,54
232,4.183,86
233,2.217,50
234,4.45,90
235,1.883,54
236,1.85,54
237,4.283,77
238,3.95,79
239,2.333,64
240,4.15,75
241,2.35,47
242,4.933,86
243,2.9,63
244,4.583,85
245,3.833,82
246,2.083,57
247,4.367,82
248,2.133,67
249,4.35,74
250,2.2,54
251,4.45,83
252,3.567,73
253,4.5,73
254,4.15,88
255,3.817,80
256,3.917,71
257,4.45,83
258,2,56
259,4.283,79
260,4.767,78
261,4.533,84
262,1.85,58
263,4.25,83
264,1.983,43
265,2.25,60
266,4.75,75
267,4.117,81
268,2.15,46
269,4.417,90
270,1.817,46
271,4.467,74
